Product,Category,Brand,Cost_Price,Sale_Price,order_date,customer_id,Discount_Band,Units Sold,month_num,year,Revenue,Total_Cost,Discount,Discounted_Revenue,Profit
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-12-2023,France,High,9,12,2023,1341,936,0,1341,405
NT1-A,Condenser Microphone,Rode,160,229,01-12-2023,Mexico,High,22,12,2023,5038,3520,0,5038,1518
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-12-2023,Mexico,High,22,12,2023,3278,2288,0,3278,990
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,Mexico,High,12,12,2023,2028,1416,0,2028,612
QuadCast S,Streaming Microphone,HyperX,97,139,01-12-2023,Mexico,High,12,12,2023,1668,1164,0,1668,504
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,Germany,High,15,12,2023,2535,1770,0,2535,765
QuadCast S,Streaming Microphone,HyperX,97,139,01-12-2023,Germany,High,15,12,2023,2085,1455,0,2085,630
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,Germany,High,10,12,2023,1690,1180,0,1690,510
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-12-2023,Germany,High,10,12,2023,1990,900,0,1990,1090
MV7,Dynamic Microphone,Shure,174,199,01-12-2023,Germany,High,3,12,2023,597,522,0,597,75
QuadCast S,Streaming Microphone,HyperX,97,139,01-12-2023,Germany,High,3,12,2023,417,291,0,417,126
MV7,Dynamic Microphone,Shure,174,199,01-12-2023,Canada,High,23,12,2023,4577,4002,0,4577,575
NT1-A,Condenser Microphone,Rode,160,229,01-12-2023,Canada,High,23,12,2023,5267,3680,0,5267,1587
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,United States of America,High,9,12,2023,1521,1062,0,1521,459
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,France,High,3,12,2023,507,354,0,507,153
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-12-2023,United States of America,High,9,12,2023,1791,810,0,1791,981
QuadCast S,Streaming Microphone,HyperX,97,139,01-12-2023,France,High,3,12,2023,417,291,0,417,126
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-11-2023,France,Low,6,11,2023,1194,540,0,1194,654
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-11-2023,United States of America,Low,29,11,2023,4901,3422,0,4901,1479
QuadCast S,Streaming Microphone,HyperX,97,139,01-11-2023,France,Low,17,11,2023,2363,1649,0,2363,714
NT1-A,Condenser Microphone,Rode,160,229,01-11-2023,Mexico,Low,7,11,2023,1603,1120,0,1603,483
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-11-2023,United States of America,Low,12,11,2023,1788,1248,0,1788,540
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-11-2023,France,Low,9,11,2023,1341,936,0,1341,405
MV7,Dynamic Microphone,Shure,174,199,01-11-2023,Mexico,Medium,28,11,2023,5572,4872,0,5572,700
NT1-A,Condenser Microphone,Rode,160,229,01-11-2023,Germany,Medium,23,11,2023,5267,3680,0,5267,1587
MV7,Dynamic Microphone,Shure,174,199,01-11-2023,United States of America,Medium,20,11,2023,3980,3480,0,3980,500
NT1-A,Condenser Microphone,Rode,160,229,01-11-2023,United States of America,Medium,27,11,2023,6183,4320,0,6183,1863
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-11-2023,Mexico,Medium,13,11,2023,2587,1170,0,2587,1417
NT1-A,Condenser Microphone,Rode,160,229,01-11-2023,France,Medium,23,11,2023,5267,3680,0,5267,1587
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-11-2023,United States of America,Medium,6,11,2023,1194,540,0,1194,654
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-11-2023,Canada,Medium,11,11,2023,1639,1144,0,1639,495
MV7,Dynamic Microphone,Shure,174,199,01-11-2023,France,Medium,5,11,2023,995,870,0,995,125
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-11-2023,Germany,Medium,15,11,2023,2235,1560,0,2235,675
NT1-A,Condenser Microphone,Rode,160,229,01-11-2023,Canada,Medium,23,11,2023,5267,3680,0,5267,1587
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-11-2023,France,Medium,13,11,2023,2197,1534,0,2197,663
QuadCast S,Streaming Microphone,HyperX,97,139,01-11-2023,Mexico,Medium,9,11,2023,1251,873,0,1251,378
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-11-2023,Mexico,Medium,17,11,2023,2533,1768,0,2533,765
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-11-2023,Germany,High,27,11,2023,5373,2430,0,5373,2943
QuadCast S,Streaming Microphone,HyperX,97,139,01-11-2023,Canada,High,25,11,2023,3475,2425,0,3475,1050
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-11-2023,Canada,High,14,11,2023,2366,1652,0,2366,714
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-11-2023,Canada,High,18,11,2023,3582,1620,0,3582,1962
MV7,Dynamic Microphone,Shure,174,199,01-11-2023,Canada,High,27,11,2023,5373,4698,0,5373,675
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-11-2023,France,High,16,11,2023,2704,1888,0,2704,816
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-11-2023,Germany,High,14,11,2023,2366,1652,0,2366,714
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-11-2023,Mexico,High,22,11,2023,3718,2596,0,3718,1122
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-11-2023,Mexico,High,12,11,2023,2028,1416,0,2028,612
QuadCast S,Streaming Microphone,HyperX,97,139,01-11-2023,United States of America,High,24,11,2023,3336,2328,0,3336,1008
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-11-2023,Germany,High,4,11,2023,676,472,0,676,204
MV7,Dynamic Microphone,Shure,174,199,01-11-2023,Germany,High,15,11,2023,2985,2610,0,2985,375
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-11-2023,Canada,High,7,11,2023,1183,826,0,1183,357
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-11-2023,United States of America,High,12,11,2023,2028,1416,0,2028,612
QuadCast S,Streaming Microphone,HyperX,97,139,01-11-2023,Germany,High,6,11,2023,834,582,0,834,252
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,United States of America,None,11,10,2023,1859,1298,0,1859,561
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-10-2023,United States of America,None,11,10,2023,1639,1144,0,1639,495
MV7,Dynamic Microphone,Shure,174,199,01-10-2023,Mexico,Low,14,10,2023,2786,2436,0,2786,350
QuadCast S,Streaming Microphone,HyperX,97,139,01-10-2023,Mexico,Low,14,10,2023,1946,1358,0,1946,588
MV7,Dynamic Microphone,Shure,174,199,01-10-2023,Canada,Low,13,10,2023,2587,2262,0,2587,325
NT1-A,Condenser Microphone,Rode,160,229,01-10-2023,United States of America,Low,16,10,2023,3664,2560,0,3664,1104
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,Canada,Low,13,10,2023,2197,1534,0,2197,663
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-10-2023,United States of America,Low,16,10,2023,3184,1440,0,3184,1744
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-10-2023,Germany,Low,29,10,2023,5771,2610,0,5771,3161
QuadCast S,Streaming Microphone,HyperX,97,139,01-10-2023,Germany,Low,29,10,2023,4031,2813,0,4031,1218
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,Canada,Low,20,10,2023,3380,2360,0,3380,1020
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-10-2023,Canada,Low,20,10,2023,3980,1800,0,3980,2180
NT1-A,Condenser Microphone,Rode,160,229,01-10-2023,Mexico,Low,20,10,2023,4580,3200,0,4580,1380
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,Mexico,Low,20,10,2023,3380,2360,0,3380,1020
MV7,Dynamic Microphone,Shure,174,199,01-10-2023,Germany,Low,20,10,2023,3980,3480,0,3980,500
NT1-A,Condenser Microphone,Rode,160,229,01-10-2023,Germany,Low,20,10,2023,4580,3200,0,4580,1380
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-10-2023,France,Low,22,10,2023,4378,1980,0,4378,2398
QuadCast S,Streaming Microphone,HyperX,97,139,01-10-2023,France,Low,22,10,2023,3058,2134,0,3058,924
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,Mexico,Medium,27,10,2023,4563,3186,0,4563,1377
QuadCast S,Streaming Microphone,HyperX,97,139,01-10-2023,Mexico,Medium,27,10,2023,3753,2619,0,3753,1134
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,United States of America,Medium,9,10,2023,1521,1062,0,1521,459
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-10-2023,United States of America,Medium,9,10,2023,1791,810,0,1791,981
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,United States of America,Medium,12,10,2023,2028,1416,0,2028,612
QuadCast S,Streaming Microphone,HyperX,97,139,01-10-2023,United States of America,Medium,12,10,2023,1668,1164,0,1668,504
MV7,Dynamic Microphone,Shure,174,199,01-10-2023,France,Medium,22,10,2023,4378,3828,0,4378,550
NT1-A,Condenser Microphone,Rode,160,229,01-10-2023,France,Medium,20,10,2023,4580,3200,0,4580,1380
NT1-A,Condenser Microphone,Rode,160,229,01-10-2023,France,Medium,22,10,2023,5038,3520,0,5038,1518
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-10-2023,France,Medium,20,10,2023,3980,1800,0,3980,2180
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,France,Medium,12,10,2023,2028,1416,0,2028,612
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-10-2023,Canada,Medium,13,10,2023,2587,1170,0,2587,1417
QuadCast S,Streaming Microphone,HyperX,97,139,01-10-2023,France,Medium,12,10,2023,1668,1164,0,1668,504
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-10-2023,Canada,Medium,13,10,2023,1937,1352,0,1937,585
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,Germany,Medium,4,10,2023,676,472,0,676,204
QuadCast S,Streaming Microphone,HyperX,97,139,01-10-2023,Germany,Medium,4,10,2023,556,388,0,556,168
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,Germany,High,2,10,2023,338,236,0,338,102
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-10-2023,Germany,High,2,10,2023,398,180,0,398,218
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-10-2023,Germany,High,5,10,2023,995,450,0,995,545
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-10-2023,Germany,High,5,10,2023,745,520,0,745,225
MV7,Dynamic Microphone,Shure,174,199,01-10-2023,France,High,24,10,2023,4776,4176,0,4776,600
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,France,High,24,10,2023,4056,2832,0,4056,1224
MV7,Dynamic Microphone,Shure,174,199,01-10-2023,Mexico,High,22,10,2023,4378,3828,0,4378,550
NT1-A,Condenser Microphone,Rode,160,229,01-10-2023,Canada,High,27,10,2023,6183,4320,0,6183,1863
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,Mexico,High,22,10,2023,3718,2596,0,3718,1122
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,Mexico,High,9,10,2023,1521,1062,0,1521,459
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-10-2023,United States of America,High,10,10,2023,1990,900,0,1990,1090
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-10-2023,Mexico,High,9,10,2023,1791,810,0,1791,981
QuadCast S,Streaming Microphone,HyperX,97,139,01-10-2023,United States of America,High,10,10,2023,1390,970,0,1390,420
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-10-2023,Canada,High,27,10,2023,4023,2808,0,4023,1215
NT1-A,Condenser Microphone,Rode,160,229,01-10-2023,Canada,High,13,10,2023,2977,2080,0,2977,897
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,Canada,High,16,10,2023,2704,1888,0,2704,816
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,Canada,High,13,10,2023,2197,1534,0,2197,663
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-10-2023,Mexico,High,4,10,2023,796,360,0,796,436
QuadCast S,Streaming Microphone,HyperX,97,139,01-10-2023,Canada,High,16,10,2023,2224,1552,0,2224,672
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-10-2023,Mexico,High,4,10,2023,596,416,0,596,180
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,France,High,14,10,2023,2366,1652,0,2366,714
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-10-2023,France,High,14,10,2023,2086,1456,0,2086,630
MV7,Dynamic Microphone,Shure,174,199,01-10-2023,Canada,High,15,10,2023,2985,2610,0,2985,375
MV7,Dynamic Microphone,Shure,174,199,01-10-2023,United States of America,High,10,10,2023,1990,1740,0,1990,250
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,United States of America,High,29,10,2023,4901,3422,0,4901,1479
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,France,High,17,10,2023,2873,2006,0,2873,867
QuadCast S,Streaming Microphone,HyperX,97,139,01-10-2023,Canada,High,15,10,2023,2085,1455,0,2085,630
QuadCast S,Streaming Microphone,HyperX,97,139,01-10-2023,United States of America,High,10,10,2023,1390,970,0,1390,420
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-10-2023,United States of America,High,29,10,2023,4321,3016,0,4321,1305
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-10-2023,France,High,17,10,2023,2533,1768,0,2533,765
MV7,Dynamic Microphone,Shure,174,199,01-10-2023,Germany,High,11,10,2023,2189,1914,0,2189,275
NT1-A,Condenser Microphone,Rode,160,229,01-10-2023,Mexico,High,6,10,2023,1374,960,0,1374,414
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,Germany,High,11,10,2023,1859,1298,0,1859,561
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-10-2023,Germany,High,12,10,2023,2028,1416,0,2028,612
QuadCast S,Streaming Microphone,HyperX,97,139,01-10-2023,Germany,High,12,10,2023,1668,1164,0,1668,504
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-10-2023,Mexico,High,6,10,2023,894,624,0,894,270
NT1-A,Condenser Microphone,Rode,160,229,01-10-2023,Germany,None,22,10,2023,5038,3520,0,5038,1518
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-09-2023,Mexico,None,25,9,2023,4225,2950,0,4225,1275
QuadCast S,Streaming Microphone,HyperX,97,139,01-09-2023,France,None,22,9,2023,3058,2134,0,3058,924
MV7,Dynamic Microphone,Shure,174,199,01-09-2023,Canada,Low,15,9,2023,2985,2610,0,2985,375
MV7,Dynamic Microphone,Shure,174,199,01-09-2023,France,Low,27,9,2023,5373,4698,0,5373,675
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-09-2023,Germany,Low,8,9,2023,1352,944,0,1352,408
QuadCast S,Streaming Microphone,HyperX,97,139,01-09-2023,Germany,Low,10,9,2023,1390,970,0,1390,420
MV7,Dynamic Microphone,Shure,174,199,01-09-2023,United States of America,Low,20,9,2023,3980,3480,0,3980,500
NT1-A,Condenser Microphone,Rode,160,229,01-09-2023,France,Low,5,9,2023,1145,800,0,1145,345
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-09-2023,Canada,Low,2,9,2023,338,236,0,338,102
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-09-2023,Canada,Low,21,9,2023,3549,2478,0,3549,1071
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-09-2023,United States of America,Low,11,9,2023,1859,1298,0,1859,561
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-09-2023,Germany,Low,19,9,2023,2831,1976,0,2831,855
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-09-2023,France,Medium,26,9,2023,4394,3068,0,4394,1326
MV7,Dynamic Microphone,Shure,174,199,01-09-2023,Mexico,Medium,6,9,2023,1194,1044,0,1194,150
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-09-2023,Mexico,Medium,17,9,2023,2533,1768,0,2533,765
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-09-2023,France,Medium,15,9,2023,2535,1770,0,2535,765
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-09-2023,Germany,Medium,21,9,2023,4179,1890,0,4179,2289
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-09-2023,France,Medium,29,9,2023,4321,3016,0,4321,1305
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-09-2023,Germany,Medium,19,9,2023,3211,2242,0,3211,969
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-09-2023,Mexico,Medium,30,9,2023,5070,3540,0,5070,1530
QuadCast S,Streaming Microphone,HyperX,97,139,01-09-2023,Canada,Medium,21,9,2023,2919,2037,0,2919,882
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-09-2023,Canada,Medium,6,9,2023,1194,540,0,1194,654
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-09-2023,Mexico,Medium,21,9,2023,4179,1890,0,4179,2289
QuadCast S,Streaming Microphone,HyperX,97,139,01-09-2023,United States of America,Medium,19,9,2023,2641,1843,0,2641,798
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-09-2023,United States of America,Medium,21,9,2023,3129,2184,0,3129,945
MV7,Dynamic Microphone,Shure,174,199,01-09-2023,Germany,Medium,16,9,2023,3184,2784,0,3184,400
NT1-A,Condenser Microphone,Rode,160,229,01-09-2023,United States of America,High,23,9,2023,5267,3680,0,5267,1587
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-09-2023,United States of America,High,16,9,2023,3184,1440,0,3184,1744
QuadCast S,Streaming Microphone,HyperX,97,139,01-09-2023,Mexico,High,4,9,2023,556,388,0,556,168
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-09-2023,Canada,High,7,9,2023,1043,728,0,1043,315
NT1-A,Condenser Microphone,Rode,160,229,01-09-2023,Mexico,High,24,9,2023,5496,3840,0,5496,1656
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-09-2023,United States of America,High,18,9,2023,3042,2124,0,3042,918
NT1-A,Condenser Microphone,Rode,160,229,01-09-2023,Canada,High,4,9,2023,916,640,0,916,276
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-09-2023,France,High,7,9,2023,1393,630,0,1393,763
NT1-A,Condenser Microphone,Rode,160,229,01-08-2023,Mexico,None,10,8,2023,2290,1600,0,2290,690
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-08-2023,Mexico,None,9,8,2023,1521,1062,0,1521,459
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-08-2023,United States of America,None,28,8,2023,5572,2520,0,5572,3052
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-08-2023,United States of America,None,21,8,2023,3129,2184,0,3129,945
NT1-A,Condenser Microphone,Rode,160,229,01-08-2023,Canada,Low,18,8,2023,4122,2880,0,4122,1242
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-08-2023,Canada,Low,9,8,2023,1791,810,0,1791,981
QuadCast S,Streaming Microphone,HyperX,97,139,01-08-2023,Canada,Low,19,8,2023,2641,1843,0,2641,798
QuadCast S,Streaming Microphone,HyperX,97,139,01-08-2023,Mexico,Low,16,8,2023,2224,1552,0,2224,672
NT1-A,Condenser Microphone,Rode,160,229,01-08-2023,Germany,Low,19,8,2023,4351,3040,0,4351,1311
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-08-2023,Mexico,Medium,11,8,2023,1639,1144,0,1639,495
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-08-2023,United States of America,Medium,28,8,2023,5572,2520,0,5572,3052
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-08-2023,France,Medium,16,8,2023,3184,1440,0,3184,1744
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-08-2023,Canada,Medium,6,8,2023,894,624,0,894,270
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-08-2023,United States of America,Medium,22,8,2023,3718,2596,0,3718,1122
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-08-2023,Germany,Medium,17,8,2023,2873,2006,0,2873,867
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-08-2023,Germany,Medium,10,8,2023,1990,900,0,1990,1090
MV7,Dynamic Microphone,Shure,174,199,01-08-2023,Canada,Medium,19,8,2023,3781,3306,0,3781,475
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-08-2023,France,Medium,21,8,2023,3549,2478,0,3549,1071
